Date,IsHome,Opponent,GoalsFor,GoalsAgainst,ShotsFor,ShotsAgainst,Result,Outcome,GoalsFor_avg_5,GoalsAgainst_avg_5,ShotsFor_avg_5,ShotsAgainst_avg_5,WinRate_5
2022-08-14,0,Vizela,1,0,13,4,A,0,5.0,1.0,22.0,9.0,1.0
2022-08-20,1,Sp Lisbon,3,0,11,8,H,2,3.0,0.5,17.5,6.5,0.5
2022-08-28,0,Rio Ave,1,3,27,6,H,2,3.0,0.3333333333333333,15.333333333333334,7.0,0.6666666666666666
2022-09-03,0,Gil Vicente,2,0,16,6,A,0,2.5,1.0,18.25,6.75,0.75
2022-09-10,1,Chaves,3,0,19,8,H,2,2.4,0.8,17.8,6.6,0.6
2022-09-17,0,Estoril,1,1,19,9,D,1,2.0,0.6,17.2,6.4,0.6
2022-09-30,1,Sp Braga,4,1,16,9,H,2,2.0,0.8,18.4,7.4,0.6
2022-10-08,0,Portimonense,2,0,18,12,A,0,2.2,1.0,19.4,7.6,0.6
2022-10-21,1,Benfica,0,1,11,13,A,0,2.4,0.4,17.6,8.8,0.4
2022-10-29,0,Santa Clara,1,1,15,9,D,1,2.0,0.6,16.6,10.2,0.4
2022-11-05,1,Pacos Ferreira,4,0,18,9,H,2,1.6,0.8,15.8,10.4,0.2
2022-11-12,0,Boavista,4,1,24,6,A,0,2.2,0.6,15.6,10.4,0.4
2022-12-28,1,Arouca,5,1,16,8,H,2,2.2,0.6,17.2,9.8,0.2
2023-01-07,0,Casa Pia,0,0,25,2,D,1,2.8,0.8,16.8,9.0,0.4
2023-01-15,1,Famalicao,4,1,17,10,H,2,2.8,0.6,19.6,6.8,0.4
2023-01-21,0,Guimaraes,1,0,14,9,A,0,3.4,0.6,20.0,7.0,0.6
2023-02-01,0,Maritimo,2,0,9,10,A,0,2.8,0.6,19.2,7.0,0.4
2023-02-05,1,Vizela,2,0,15,10,H,2,2.4,0.4,16.2,7.8,0.4
2023-02-12,0,Sp Lisbon,2,1,10,15,A,0,1.8,0.2,16.0,8.2,0.4
2023-02-18,1,Rio Ave,1,0,14,11,H,2,2.2,0.4,13.0,10.8,0.4
2023-02-26,1,Gil Vicente,1,2,11,9,A,0,1.6,0.2,12.4,11.0,0.4
2023-03-04,0,Chaves,3,1,13,13,A,0,1.6,0.6,11.8,11.0,0.4
2023-03-10,1,Estoril,3,2,12,9,H,2,1.8,0.8,12.6,11.6,0.4
2023-03-19,0,Sp Braga,0,0,5,14,D,1,2.0,1.2,12.0,11.4,0.4
2023-04-02,1,Portimonense,1,0,17,6,H,2,1.6,1.0,11.0,11.2,0.4
2023-04-07,0,Benfica,2,1,7,7,A,0,1.6,1.0,11.6,10.2,0.4
2023-04-15,1,Santa Clara,2,1,12,8,H,2,1.8,0.8,10.8,9.8,0.4
2023-04-22,0,Pacos Ferreira,2,0,10,8,A,0,1.6,0.8,10.6,8.8,0.6
2023-04-30,1,Boavista,1,0,10,7,H,2,1.4,0.4,10.2,8.6,0.4
2023-05-08,0,Arouca,1,0,12,8,A,0,1.6,0.4,11.2,7.2,0.6
2023-05-14,1,Casa Pia,2,1,19,8,H,2,1.6,0.4,10.2,7.6,0.4
2023-05-20,0,Famalicao,4,2,11,7,A,0,1.6,0.4,12.6,7.8,0.6
2023-05-27,1,Guimaraes,3,0,20,4,H,2,2.0,0.6,12.4,7.6,0.4
2023-08-14,0,Moreirense,2,1,18,8,A,0,2.2,0.6,14.4,6.8,0.6
2023-08-20,1,Farense,2,1,26,7,H,2,2.4,0.8,16.0,7.0,0.4
2023-08-28,0,Rio Ave,2,1,9,4,A,0,2.6,1.0,18.8,6.8,0.6
2023-09-03,1,Arouca,1,1,12,10,D,1,2.6,1.0,16.8,6.0,0.4
2023-09-15,0,Estrela,1,0,10,9,A,0,2.0,0.8,17.0,6.6,0.4
2023-09-23,1,Gil Vicente,2,1,20,12,H,2,1.6,0.8,15.0,7.6,0.2
2023-09-29,0,Benfica,0,1,6,12,H,2,1.6,0.8,15.4,8.4,0.4
2023-10-08,1,Portimonense,1,0,18,4,H,2,1.2,0.8,11.4,9.4,0.4
2023-10-29,0,Vizela,2,0,13,8,A,0,1.0,0.6,13.2,9.4,0.6
2023-11-03,1,Estoril,0,1,16,7,A,0,1.2,0.4,13.4,9.0,0.6
2023-11-11,0,Guimaraes,2,1,7,14,A,0,1.0,0.6,14.6,8.6,0.6
2023-12-02,0,Famalicao,3,0,9,12,A,0,1.0,0.6,12.0,9.0,0.4
2023-12-09,1,Casa Pia,3,1,16,7,H,2,1.6,0.4,12.6,9.0,0.2
2023-12-18,0,Sp Lisbon,0,2,5,11,H,2,2.0,0.6,12.2,9.6,0.2
2023-12-29,1,Chaves,1,0,17,5,H,2,1.6,1.0,10.6,10.2,0.4
2024-01-05,0,Boavista,1,1,24,7,D,1,1.8,0.8,10.8,9.8,0.6
2024-01-14,1,Sp Braga,2,0,8,10,H,2,1.6,0.8,14.2,8.4,0.6
2024-01-20,1,Moreirense,5,0,16,5,H,2,1.4,0.8,14.0,8.0,0.8
2024-01-28,0,Farense,3,1,18,9,A,0,1.8,0.6,14.0,7.6,0.8
2024-02-03,1,Rio Ave,0,0,17,3,D,1,2.4,0.4,16.6,7.2,0.6
2024-02-12,0,Arouca,2,3,14,10,H,2,2.2,0.4,16.6,6.8,0.4
2024-02-17,1,Estrela,2,0,16,8,H,2,2.4,0.8,14.6,7.4,0.6
2024-02-25,0,Gil Vicente,1,1,14,7,D,1,2.4,0.8,16.2,7.0,0.6
2024-03-03,1,Benfica,5,0,16,3,H,2,1.6,1.0,15.8,7.4,0.4
2024-03-08,0,Portimonense,3,0,16,7,A,0,2.0,0.8,15.4,6.2,0.6
2024-03-16,1,Vizela,4,1,36,3,H,2,2.6,0.8,15.2,7.0,0.6
2024-03-30,0,Estoril,0,1,13,5,H,2,3.0,0.4,19.6,5.6,0.6
2024-04-07,1,Guimaraes,1,2,12,4,A,0,2.6,0.6,19.0,5.0,0.6
2024-04-13,1,Famalicao,2,2,20,8,D,1,2.6,0.8,18.6,4.4,0.6
2024-04-21,0,Casa Pia,2,1,16,11,A,0,2.0,1.2,19.4,5.4,0.4
2024-04-28,1,Sp Lisbon,2,2,11,9,D,1,1.8,1.4,19.4,6.2,0.4
2024-05-04,0,Chaves,3,0,9,4,A,0,1.4,1.6,14.4,7.4,0.2
2024-05-12,1,Boavista,2,1,20,3,H,2,2.0,1.4,13.6,7.2,0.0
2024-05-18,0,Sp Braga,1,0,19,4,A,0,2.2,1.2,15.2,7.0,0.2
2024-08-10,1,Gil Vicente,3,0,16,3,H,2,2.0,0.8,15.0,6.2,0.2
2024-08-16,0,Santa Clara,2,0,8,5,A,0,2.2,0.6,15.0,4.6,0.4
2024-08-24,1,Rio Ave,2,0,23,0,H,2,2.2,0.2,14.4,3.8,0.4
2024-08-31,0,Sp Lisbon,0,2,8,11,H,2,2.0,0.2,17.2,3.0,0.6
2024-09-15,1,Farense,2,1,23,12,H,2,1.6,0.4,14.8,4.6,0.6
2024-09-21,0,Guimaraes,3,0,12,6,A,0,1.8,0.6,15.6,6.2,0.8
2024-09-29,1,Arouca,4,0,26,4,H,2,1.8,0.6,14.8,6.8,0.6
2024-10-06,1,Sp Braga,2,1,6,17,H,2,2.2,0.6,18.4,6.6,0.8
2024-10-28,0,AVS,5,0,12,5,A,0,2.2,0.8,15.0,10.0,0.8
2024-11-03,1,Estoril,4,0,16,12,H,2,3.2,0.4,15.8,8.8,0.6
2024-11-10,0,Benfica,1,4,8,16,H,2,3.6,0.2,14.4,8.8,0.6
2024-12-02,1,Casa Pia,2,0,17,10,H,2,3.2,1.0,13.6,10.8,0.8
2024-12-07,0,Famalicao,1,1,16,4,D,1,2.8,1.0,11.8,12.0,0.8
2024-12-16,1,Estrela,2,0,12,3,H,2,2.6,1.0,13.8,9.4,0.6
2024-12-21,0,Moreirense,3,0,12,7,A,0,2.0,1.0,13.8,9.0,0.8
2024-12-28,1,Boavista,4,0,13,4,H,2,1.8,1.0,13.0,8.0,0.6
2025-01-12,0,Nacional,0,2,13,7,H,2,2.4,0.2,14.0,5.6,0.6
2025-01-19,0,Gil Vicente,1,3,18,8,H,2,2.0,0.6,13.2,5.0,0.6
2025-01-26,1,Santa Clara,1,1,21,2,D,1,2.0,1.0,13.6,5.8,0.8
2025-02-03,0,Rio Ave,2,2,23,9,D,1,1.8,1.2,15.4,5.6,0.6
2025-02-07,1,Sp Lisbon,1,1,17,13,D,1,1.6,1.6,17.6,6.0,0.6
2025-02-16,0,Farense,1,0,11,8,A,0,1.0,1.8,18.4,7.8,0.4
2025-02-24,1,Guimaraes,1,1,13,11,D,1,1.2,1.4,18.0,8.0,0.2
2025-03-01,0,Arouca,2,0,9,6,A,0,1.2,1.0,17.0,8.6,0.0
2025-03-08,0,Sp Braga,0,1,7,7,H,2,1.4,0.8,14.6,9.4,0.0
2025-03-15,1,AVS,2,0,20,8,H,2,1.0,0.6,11.4,9.0,0.2
2025-03-30,0,Estoril,2,1,14,3,A,0,1.2,0.4,12.0,8.0,0.4
2025-04-06,1,Benfica,1,4,14,14,A,0,1.4,0.6,12.6,7.0,0.4
2025-04-12,0,Casa Pia,1,0,10,5,A,0,1.4,1.2,12.8,7.6,0.4
2025-04-18,1,Famalicao,2,1,8,12,H,2,1.2,1.2,13.0,7.4,0.4
2025-04-26,0,Estrela,0,2,12,11,H,2,1.6,1.2,13.2,8.4,0.4
2025-05-02,1,Moreirense,3,1,15,5,H,2,1.2,1.6,11.6,9.0,0.4
